student_id,ports
505099710,11635 11636 11637 11638 11639
804801272,11715 11716 11717 11718 11719
504817439,12220 12221 12222 12223 12224
604926367,12330 12331 12332 12333 12334
704981419,12350 12351 12352 12353 12354
404933137,12290 12291 12292 12293 12294
805167463,11860 11861 11862 11863 11864
605006720,11680 11681 11682 11683 11684
704924872,11460 11461 11462 11463 11464
904924480,11990 11991 11992 11993 11994
304929353,11610 11611 11612 11613 11614
105012083,12370 12371 12372 12373 12374
904921783,11540 11541 11542 11543 11544
504916236,11830 11831 11832 11833 11834
605006027,11565 11566 11567 11568 11569
905118702,11505 11506 11507 11508 11509
404991108,12230 12231 12232 12233 12234
304973591,11620 11621 11622 11623 11624
805083331,11605 11606 11607 11608 11609
404931874,11995 11996 11997 11998 11999
704924773,11660 11661 11662 11663 11664
905116878,12255 12256 12257 12258 12259
004912373,12095 12096 12097 12098 12099
505153981,12375 12376 12377 12378 12379
904733541,12155 12156 12157 12158 12159
404887687,11470 11471 11472 11473 11474
604997265,12075 12076 12077 12078 12079
304932794,12295 12296 12297 12298 12299
604967268,11495 11496 11497 11498 11499
504795932,12105 12106 12107 12108 12109
905350692,12260 12261 12262 12263 12264
405147924,12205 12206 12207 12208 12209
905179644,11835 11836 11837 11838 11839
205221104,11765 11766 11767 11768 11769
004800083,11705 11706 11707 11708 11709
104907446,12000 12001 12002 12003 12004
204901948,11880 11881 11882 11883 11884
804968356,11410 11411 11412 11413 11414
704962920,11675 11676 11677 11678 11679
004928411,12310 12311 12312 12313 12314
405181239,12065 12066 12067 12068 12069
504920035,11700 11701 11702 11703 11704
305180773,12140 12141 12142 12143 12144
805188818,11750 11751 11752 11753 11754
405021849,11970 11971 11972 11973 11974
805016775,11895 11896 11897 11898 11899
904938024,11465 11466 11467 11468 11469
704924099,12010 12011 12012 12013 12014
405185341,11430 11431 11432 11433 11434
205008698,11550 11551 11552 11553 11554
904913603,11870 11871 11872 11873 11874
204917652,11685 11686 11687 11688 11689
805127330,11615 11616 11617 11618 11619
404813615,11420 11421 11422 11423 11424
104913720,12280 12281 12282 12283 12284
704956212,12265 12266 12267 12268 12269
004918228,11440 11441 11442 11443 11444
104919307,11855 11856 11857 11858 11859
305129850,11770 11771 11772 11773 11774
405189216,11575 11576 11577 11578 11579
204912895,11730 11731 11732 11733 11734
005223528,12135 12136 12137 12138 12139
905159212,12020 12021 12022 12023 12024
504934155,12115 12116 12117 12118 12119
705181563,11670 11671 11672 11673 11674
705331666,12300 12301 12302 12303 12304
504992961,11475 11476 11477 11478 11479
005192876,11930 11931 11932 11933 11934
905224199,11920 11921 11922 11923 11924
905184513,11405 11406 11407 11408 11409
505146702,11425 11426 11427 11428 11429
905148539,12250 12251 12252 12253 12254
705063404,11630 11631 11632 11633 11634
105182103,12060 12061 12062 12063 12064
305097439,11545 11546 11547 11548 11549
805158171,12080 12081 12082 12083 12084
104878199,12325 12326 12327 12328 12329
604972806,11570 11571 11572 11573 11574
205257447,11805 11806 11807 11808 11809
